CityName,Lat,Lon,StateName,StateCode,County,Density,Population
Woods Creek,47.8821,-121.8982,Washington,WA,Snohomish,173.1,0
McKenna,46.9365,-122.55,Washington,WA,Pierce,337.2,0
Revere,47.0813,-117.9302,Washington,WA,Whitman,0.1,0
Kalama,46.0171,-122.8393,Washington,WA,Cowlitz,297,3794
Grandview,46.2431,-119.9084,Washington,WA,Yakima,670,18858
Winthrop,48.4716,-120.179,Washington,WA,Okanogan,182,439
Maltby,47.8027,-122.1044,Washington,WA,Snohomish,80.4,0
Spangle,47.4299,-117.3812,Washington,WA,Spokane,339,307
Blanchard,48.5934,-122.4166,Washington,WA,Skagit,39.7,0
Artondale,47.3023,-122.6398,Washington,WA,Pierce,350.1,0
May Creek,47.8555,-121.6744,Washington,WA,Snohomish,301.6,0
Home,47.279,-122.7744,Washington,WA,Pierce,198.6,0
Vashon,47.4122,-122.4726,Washington,WA,King,386.3,0
Snoqualmie Falls,47.5398,-121.8098,Washington,WA,King,1.6,0
Laurier,48.9974,-118.2248,Washington,WA,Ferry,5.1,0
Quincy,47.2345,-119.852,Washington,WA,Grant,490,7756
Lake McMurray,48.3129,-122.2317,Washington,WA,Skagit,122.2,0
Martha Lake,47.848,-122.2326,Washington,WA,Snohomish,2050.6,0
Ariel,45.9568,-122.5709,Washington,WA,Cowlitz,54.8,0
Loon Lake,48.0685,-117.6298,Washington,WA,Stevens,133.7,0
Thornton,47.1207,-117.3896,Washington,WA,Whitman,10.7,0
Starbuck,46.5183,-118.1247,Washington,WA,Columbia,237,131
Ronald,47.2338,-121.0335,Washington,WA,Kittitas,187.8,0
Kelso,46.1248,-122.8908,Washington,WA,Cowlitz,580,12130
Meadowdale,47.8583,-122.3156,Washington,WA,Snohomish,450.5,0
Cottage Lake,47.7466,-122.0755,Washington,WA,King,880.7,0
Cheney,47.4902,-117.5789,Washington,WA,Spokane,1106,12421
Woodway,47.7903,-122.3851,Washington,WA,Snohomish,455,1378
Lacey,47.045,-122.7931,Washington,WA,Thurston,1168,49748
Harrah,46.407,-120.5423,Washington,WA,Yakima,1131,636
Allyn,47.3863,-122.8386,Washington,WA,Mason,301.1,0
South Bend,46.668,-123.8008,Washington,WA,Pacific,394,1651
Barstow,48.7783,-118.1329,Washington,WA,Ferry,10.7,0
