Name, Longitude, Latitude
Yerbillon,118.75,-31.38333
Yerawonyah Rockhole,121.48333,-22.43333
Yerapin Spring,117.93333,-31.81667
Yerangatup,122.38333,-33.81667
Yeo Hills,124.41667,-28.1
Yeo Hill,126.56667,-26.18333
Yeoh Hills,117.26667,-29.21667
Lake Yeo,124.38333,-28.06667
Lake Yenyening,117.3998,-32.07154
Yenyannig,119.3,-30.25
Yenteyerrup Swamp,119.01667,-34.4
Yenna Pool,117.53333,-21.66667
Yeneena Creek,121.68333,-22.41667
Yendinnup Swamp,118.98333,-34.33333
Yendicup Swamp,116.58333,-34.16667
Yendang Hill,120.3,-29.31667
Yenamber Well,117.26667,-27.4
Yelverton,115.1,-33.75
Yelvertoft,138.86667,-20.21667
Yeltukka,135.63333,-34.16667
Yeltanna Hill,136.45,-32.85
Yeltanna Bore,136.43333,-32.86667
Yeltacowie,137.35,-31.35
Yelta,137.6,-34.06667
Yelpawaralinna Hill,138.68333,-27.1
Yelma Soak,121.6,-26.46667
Yellow Waterhole Creek,138.41667,-17.6
Yellow Waterhole,139.05,-21.08333
Yellow Waterhole,133.88333,-18.23333
Yellow Waterhole,132.21667,-16.8
Yellow Waterhole,132.7,-16.4
Yellow Waterhole,134.76667,-14.53333
Yellowtail Rockhole,125.63333,-30.51667
Yellow Hole Bore,137.98333,-20.4
Yellow Hill,113.8,-23.1
Yellowdine,119.65,-31.3
Yellooginna Hill,131.6,-27.13333
Yellilup Swamp,119.03333,-34.33333
Yelleen Yard Pool,123.65,-17.71667
Yelleen Crossing,123.65,-17.7
Yellari Soak,117.83333,-30.31667
Yellanup Lake,117.93333,-34.71667
Yellagoodine,123.93333,-18.46667
Yelery Well,116.81667,-27.65
Yeleada Hill,138.93333,-32.23333
Yeldulknie Reservoir,136.55,-33.7
Yeldulknie Creek,136.53333,-33.75
Yelbeni,117.66667,-31.18333
Yegin Well,119.16667,-20.05
Yegin Pool,119.18333,-20.06667
Yeerim Soak,129.53333,-18.61667
Yeerakine Rock,118.3,-32.55
Yeeradgi Rockhole,134.43333,-20.23333
Yeelirrie,120.1,-27.28333
Yeelingee Pool,115.96667,-22.93333
Yeelarranna Pool,117.76667,-21.78333
Yeelanna,135.73333,-34.15
Yeela,119.21667,-30.2
Yeeding,119.21667,-30.25
Yeedie Bulgar,119.63333,-29
Yeeda River,123.63333,-17.51667
Yeeda,123.6468,-17.61527
Yednalue,138.63333,-32.06667
Yedlakoo Creek,137.43333,-29.76667
Yearlit Dam,114.58333,-23.98333
Yeardup Brook,116.23333,-34.26667
Yearawa Pool,116.81667,-21.5
Yeanilling Rock,117.2,-32.58333
Lake Yealering,117.6273,-32.60071
Yealering,117.61667,-32.6
Yeagerup,116.05,-34.53333
Yeadedegurra Soak,114.35,-23.41667
Yayoudle,126.05,-31.81667
Yawerlin Creek,118.31667,-31.93333
Yattalanga,138.76667,-34.68333
Yatina,138.66667,-32.93333
Yatheroo Well,116.91667,-25.96667
Yathalaw Pond,116.38333,-21.83333
The Yates,121.81667,-33.48333
Mount Yates,115.2682,-33.9852
Mount Yates,128.13333,-16.36667
Yatala Shoal,138.16667,-35.75
Yatala Reef,132.58333,-32.65
Yatala Channel,133.56667,-32.2
Yarunga Creek,134.83333,-12.13333
Yartoo Reservoir,135.43333,-32.43333
Yartoo Out Station,135.35,-32.33333
Yarterberrie Rockholes,135.65,-32.7
Yarrum,139.55,-17.81667
Yarrowie Creek,138.35,-33.1
Yarrie Well,138.98333,-21.98333
Yarrie,120.2061,-20.67447
Yarri,122.35,-29.78333
Yarrenbullia Waterhole,113.88333,-24.63333
Yarra Yarra Lakes,115.8,-29.66667
Yarra Yarra Creek,115.93333,-25.95
Yarrawurta Cliff,137.2,-30.16667
Yarrawolya Pool,115.53333,-26.81667
Yarrawinga Waterhole,139.45,-21.06667
Yarra Well,116.16667,-26.1
Yarrara Well,123.81667,-31.1
Yarraquin Well,118.18333,-27.55
Yarraquin,117.98333,-27.41667
Yarranna Hill,134.63333,-31.9
Yarrandine,128.36667,-28.26667
Yarramony Siding,116.71667,-31.5
Yarrameedie,117.21667,-26.1
Yarraman Creek,139.68333,-21.18333
Yarraloola,115.8789,-21.5698
Yarrakin Well,117.4,-31.83333
Yarragil Brook,116.11667,-32.81667
Yarrada Hill,123.93333,-17.28333
Yarrabubba Well,118.06667,-26.33333
Yarrabubba,118.78333,-27.13333
Yarrabolina Hill,135.96667,-29.58333
Yarrabiddie Well,114.56667,-25
Lake Yarowinie,139.70085,-27.62839
Yaroona Hill,130.17075,-27.45866
Yaroona,138.66667,-35.13333
Yarnup Swamp,116.86667,-34.38333
Yarna Water,135.18333,-32.01667
Yarna Hill,135.16667,-32.03333
Yarlot Well,118.2,-29.05
Yarlot Well,117.55,-28.6
Yarloop,115.89693,-32.95372
Yarloo Creek,120.01667,-27.86667
Yarlingulla Well,118.11667,-27.55
Yarling Brook,117.53333,-32.66667
Yarley,137.81667,-32.25
Yarle Lakes,131.48584,-30.24862
Yarlbrinda Well,134.73333,-31.95
Yarlbrinda Hill,134.73333,-31.95
Yarlarweelor Creek,118.08333,-25.23333
Yarlarweelor,117.9931,-25.57703
Yaringie Hill,135.66667,-32.06667
Yaringa South,114.26667,-26.2
Yaringa North,114.3,-25.93333
Yaringa Creek,138.45,-21.03333
Yaringa Bore,138.51667,-20.93333
Yarinda Hill,135.81667,-32.2
Yarinda,139.55,-35.83333
Yarima Tank,134.75,-32.43333
Yard Yarding Spring,118.01667,-31.95
Yardoo Rock,117.13333,-27.46667
Yardogarra Well,122.06667,-18.33333
Yardlowie Hill,139.7,-32.4
Yarding,117.98333,-31.91667
Yardina Soak,122.2,-31.68333
Yardina Rock,122.21667,-31.68333
Yardilla Tank,122.9,-31.95
Yardie Creek,113.8,-22.31667
Yardie Creek,114,-21.88333
Yardiacco Hill,118.3,-28.75
Yarder Gully,114.38333,-28.2
Yardea Well,135.98333,-32.41667
Mount Yardea,135.51643,-32.37122
Yardea,135.53333,-32.38333
Yard Creek,139.7,-18.91667
Yardarino Station,115.03333,-29.2
Yara Spring,124.4,-16.85
Yaralla,138.63333,-35.41667
Yaralin,139.93333,-34.13333
Mount Yaragner,115.9047,-24.49565
Yaragadee,115.4,-29.08333
Yappo Creek,139.11667,-21.23333
Yappala Hill,138.31667,-31.88333
Yapoona Creek,138.18333,-32.55
Yanyarrie Creek,138.48333,-32.33333
Yanyare Well,116.51667,-20.85
Yanyare River,116.5,-20.83333
Yantiranna Pool,116.01667,-23.28333
Yanthangarra Pool,117.15,-28.3
Yantea Well,135.51667,-31.83333
Yantanabie,134.63333,-32.48333
Yanrey,114.7955,-22.50759
Yanoning Rock,118.51667,-30.58333
Yann Pool,119.16667,-20.21667
Yanneymooning,118.56667,-30.7
Yanneri Pool,119.7,-24.43333
Yannarie River,114.8,-22.46667
Yannapaira Waterhole,134.65,-14.31667
Yanmah,116.01667,-34.18333
Yankie Tank,113.95,-24.1
Yankee Spring,127.55,-15.76667
Yankaninna,139.01667,-30.35
River Yankalilla,138.28333,-35.48333
Yankalilla,138.34982,-35.45705
Lake Yaninee,135.24075,-32.98642
Yaninee,135.26667,-32.95
Yangya,138.41667,-33.23333
Yangoonabie Bore,130.06667,-31.46667
Yanget Pool,113.65,-24.85
Yanget Pool,114.26667,-24.78333
Yanget Hills,114.9,-28.66667
Yangedine Brook,116.81667,-31.96667
Yanganooka Well,114.2,-27.98333
Yanganooka Hill,114.61667,-28.28333
Yangan Hill,122.45,-30.43333
Mount Yangalee,135.61325,-26.74494
Lake Yandiya,138.72807,-28.55827
Yandinga Well,135.33333,-32.58333
Yandina Hill,139.03333,-30.31667
Yandil Soak,119.81667,-26.46667
Yandilgunna Spring,118.61667,-24.91667
Yandilgunna Pool,118.61667,-24.91667
Yandil,119.8245,-26.36035
Yandie Well,116.38333,-27.06667
Yandie Well,115.43333,-23.48333
Yandicoogina Creek,119.26667,-22.8
Yandicoogina Creek,119.96667,-21.06667
Yandicoogina,120.16667,-21.41667
Yandiah,138.33333,-32.96667
Yandi,114.8003,-27.75847
Yandhanoo Hill,117.21667,-29.55
Yandhalia Rockhole,115.95,-26.16667
Yandeyarra,118.41667,-21.23333
Yandeyarra,118.4038,-21.28505
Yandedong Well,119.28333,-20.26667
Yandayarra Well,118.51667,-27.75
Yandanunyah Rockhole,121.41667,-22.4
Yandanooka,115.55,-29.31667
Yandan,115.58333,-30.75
Yandallah Creek,123.81667,-31.08333
Yandal Lagoon,121.15,-27.68333
Yandal,121.11667,-27.55
